Country,Year,Label,Indicator,Value,Region
Afghanistan,2003,CO2 Emissions (Metric Tons),Emissions,1200.0,Rest of World
Afghanistan,2004,CO2 Emissions (Metric Tons),Emissions,950.0,Rest of World
Afghanistan,2005,CO2 Emissions (Metric Tons),Emissions,1330.0,Rest of World
Afghanistan,2006,CO2 Emissions (Metric Tons),Emissions,1650.0,Rest of World
Afghanistan,2007,CO2 Emissions (Metric Tons),Emissions,2270.0,Rest of World
Afghanistan,2008,CO2 Emissions (Metric Tons),Emissions,4210.0,Rest of World
Afghanistan,2009,CO2 Emissions (Metric Tons),Emissions,6770.0,Rest of World
Afghanistan,2010,CO2 Emissions (Metric Tons),Emissions,8460.0,Rest of World
Afghanistan,2011,CO2 Emissions (Metric Tons),Emissions,12200.0,Rest of World
Afghanistan,2012,CO2 Emissions (Metric Tons),Emissions,10800.0,Rest of World
Afghanistan,2013,CO2 Emissions (Metric Tons),Emissions,10000.0,Rest of World
Afghanistan,2014,CO2 Emissions (Metric Tons),Emissions,9810.0,Rest of World
Albania,1933,CO2 Emissions (Metric Tons),Emissions,7.33,Rest of World
Albania,1934,CO2 Emissions (Metric Tons),Emissions,7.33,Rest of World
Albania,1935,CO2 Emissions (Metric Tons),Emissions,18.3,Rest of World
Albania,1936,CO2 Emissions (Metric Tons),Emissions,128.0,Rest of World
Albania,1937,CO2 Emissions (Metric Tons),Emissions,297.0,Rest of World
Albania,1938,CO2 Emissions (Metric Tons),Emissions,348.0,Rest of World
Albania,1939,CO2 Emissions (Metric Tons),Emissions,433.0,Rest of World
Albania,1940,CO2 Emissions (Metric Tons),Emissions,693.0,Rest of World
Albania,1941,CO2 Emissions (Metric Tons),Emissions,627.0,Rest of World
Albania,1942,CO2 Emissions (Metric Tons),Emissions,744.0,Rest of World
Albania,1943,CO2 Emissions (Metric Tons),Emissions,462.0,Rest of World
Albania,1944,CO2 Emissions (Metric Tons),Emissions,154.0,Rest of World
Albania,1945,CO2 Emissions (Metric Tons),Emissions,121.0,Rest of World
Albania,1946,CO2 Emissions (Metric Tons),Emissions,484.0,Rest of World
Albania,1947,CO2 Emissions (Metric Tons),Emissions,928.0,Rest of World
Albania,1948,CO2 Emissions (Metric Tons),Emissions,704.0,Rest of World
Albania,1949,CO2 Emissions (Metric Tons),Emissions,1020.0,Rest of World
Albania,1950,CO2 Emissions (Metric Tons),Emissions,297.0,Rest of World
Albania,1951,CO2 Emissions (Metric Tons),Emissions,403.0,Rest of World
Albania,1952,CO2 Emissions (Metric Tons),Emissions,374.0,Rest of World
Albania,1953,CO2 Emissions (Metric Tons),Emissions,414.0,Rest of World
Albania,1954,CO2 Emissions (Metric Tons),Emissions,502.0,Rest of World
Albania,1955,CO2 Emissions (Metric Tons),Emissions,664.0,Rest of World
Albania,1956,CO2 Emissions (Metric Tons),Emissions,840.0,Rest of World
Albania,1957,CO2 Emissions (Metric Tons),Emissions,1510.0,Rest of World
Albania,1958,CO2 Emissions (Metric Tons),Emissions,1200.0,Rest of World
Albania,1959,CO2 Emissions (Metric Tons),Emissions,1440.0,Rest of World
Albania,1960,CO2 Emissions (Metric Tons),Emissions,2020.0,Rest of World
Albania,1961,CO2 Emissions (Metric Tons),Emissions,2280.0,Rest of World
Albania,1962,CO2 Emissions (Metric Tons),Emissions,2460.0,Rest of World
Albania,1963,CO2 Emissions (Metric Tons),Emissions,2080.0,Rest of World
Albania,1964,CO2 Emissions (Metric Tons),Emissions,2020.0,Rest of World
Albania,1965,CO2 Emissions (Metric Tons),Emissions,2170.0,Rest of World
Albania,1966,CO2 Emissions (Metric Tons),Emissions,2550.0,Rest of World
Albania,1967,CO2 Emissions (Metric Tons),Emissions,2680.0,Rest of World
Albania,1968,CO2 Emissions (Metric Tons),Emissions,3070.0,Rest of World
Albania,1969,CO2 Emissions (Metric Tons),Emissions,3250.0,Rest of World
Albania,1970,CO2 Emissions (Metric Tons),Emissions,3740.0,Rest of World
Albania,1971,CO2 Emissions (Metric Tons),Emissions,4350.0,Rest of World
Albania,1972,CO2 Emissions (Metric Tons),Emissions,5640.0,Rest of World
Albania,1973,CO2 Emissions (Metric Tons),Emissions,5290.0,Rest of World
Albania,1974,CO2 Emissions (Metric Tons),Emissions,4350.0,Rest of World
Albania,1975,CO2 Emissions (Metric Tons),Emissions,4590.0,Rest of World
Albania,1976,CO2 Emissions (Metric Tons),Emissions,4950.0,Rest of World
Albania,1977,CO2 Emissions (Metric Tons),Emissions,5720.0,Rest of World
Albania,1978,CO2 Emissions (Metric Tons),Emissions,6490.0,Rest of World
Albania,1979,CO2 Emissions (Metric Tons),Emissions,7590.0,Rest of World
Albania,1980,CO2 Emissions (Metric Tons),Emissions,5170.0,Rest of World
Albania,1981,CO2 Emissions (Metric Tons),Emissions,7340.0,Rest of World
Albania,1982,CO2 Emissions (Metric Tons),Emissions,7310.0,Rest of World
Albania,1983,CO2 Emissions (Metric Tons),Emissions,7630.0,Rest of World
Albania,1984,CO2 Emissions (Metric Tons),Emissions,7830.0,Rest of World
Albania,1985,CO2 Emissions (Metric Tons),Emissions,7880.0,Rest of World
Albania,1986,CO2 Emissions (Metric Tons),Emissions,8060.0,Rest of World
Albania,1987,CO2 Emissions (Metric Tons),Emissions,7440.0,Rest of World
Albania,1988,CO2 Emissions (Metric Tons),Emissions,7330.0,Rest of World
Albania,1989,CO2 Emissions (Metric Tons),Emissions,8980.0,Rest of World
Albania,1990,CO2 Emissions (Metric Tons),Emissions,5520.0,Rest of World
Albania,1991,CO2 Emissions (Metric Tons),Emissions,4290.0,Rest of World
Albania,1992,CO2 Emissions (Metric Tons),Emissions,2520.0,Rest of World
Albania,1993,CO2 Emissions (Metric Tons),Emissions,2340.0,Rest of World
Albania,1994,CO2 Emissions (Metric Tons),Emissions,1930.0,Rest of World
Albania,1995,CO2 Emissions (Metric Tons),Emissions,2090.0,Rest of World
Albania,1996,CO2 Emissions (Metric Tons),Emissions,2020.0,Rest of World
Albania,1997,CO2 Emissions (Metric Tons),Emissions,1540.0,Rest of World
Albania,1998,CO2 Emissions (Metric Tons),Emissions,1750.0,Rest of World
Albania,1999,CO2 Emissions (Metric Tons),Emissions,2980.0,Rest of World
Albania,2000,CO2 Emissions (Metric Tons),Emissions,3020.0,Rest of World
Albania,2001,CO2 Emissions (Metric Tons),Emissions,3220.0,Rest of World
Albania,2002,CO2 Emissions (Metric Tons),Emissions,3750.0,Rest of World
Albania,2003,CO2 Emissions (Metric Tons),Emissions,4290.0,Rest of World
Albania,2004,CO2 Emissions (Metric Tons),Emissions,4170.0,Rest of World
Albania,2005,CO2 Emissions (Metric Tons),Emissions,4250.0,Rest of World
Albania,2006,CO2 Emissions (Metric Tons),Emissions,3900.0,Rest of World
Albania,2007,CO2 Emissions (Metric Tons),Emissions,3930.0,Rest of World
Albania,2008,CO2 Emissions (Metric Tons),Emissions,4370.0,Rest of World
Albania,2009,CO2 Emissions (Metric Tons),Emissions,4380.0,Rest of World
Albania,2010,CO2 Emissions (Metric Tons),Emissions,4600.0,Rest of World
Albania,2011,CO2 Emissions (Metric Tons),Emissions,5240.0,Rest of World
Albania,2012,CO2 Emissions (Metric Tons),Emissions,4910.0,Rest of World
Albania,2013,CO2 Emissions (Metric Tons),Emissions,5060.0,Rest of World
Albania,2014,CO2 Emissions (Metric Tons),Emissions,5720.0,Rest of World
Algeria,1916,CO2 Emissions (Metric Tons),Emissions,3.67,Rest of World
Algeria,1917,CO2 Emissions (Metric Tons),Emissions,7.33,Rest of World
Algeria,1918,CO2 Emissions (Metric Tons),Emissions,18.3,Rest of World
Algeria,1919,CO2 Emissions (Metric Tons),Emissions,18.3,Rest of World
Algeria,1920,CO2 Emissions (Metric Tons),Emissions,22.0,Rest of World
Algeria,1921,CO2 Emissions (Metric Tons),Emissions,25.7,Rest of World
Algeria,1922,CO2 Emissions (Metric Tons),Emissions,25.7,Rest of World
Algeria,1923,CO2 Emissions (Metric Tons),Emissions,14.7,Rest of World
Algeria,1924,CO2 Emissions (Metric Tons),Emissions,29.3,Rest of World
Algeria,1925,CO2 Emissions (Metric Tons),Emissions,33.0,Rest of World
Algeria,1926,CO2 Emissions (Metric Tons),Emissions,40.3,Rest of World
Algeria,1927,CO2 Emissions (Metric Tons),Emissions,58.7,Rest of World
Algeria,1928,CO2 Emissions (Metric Tons),Emissions,73.3,Rest of World
Algeria,1929,CO2 Emissions (Metric Tons),Emissions,80.7,Rest of World
Algeria,1930,CO2 Emissions (Metric Tons),Emissions,84.3,Rest of World
Algeria,1931,CO2 Emissions (Metric Tons),Emissions,99.0,Rest of World
Algeria,1932,CO2 Emissions (Metric Tons),Emissions,114.0,Rest of World
Algeria,1933,CO2 Emissions (Metric Tons),Emissions,121.0,Rest of World
Algeria,1934,CO2 Emissions (Metric Tons),Emissions,139.0,Rest of World
Algeria,1935,CO2 Emissions (Metric Tons),Emissions,132.0,Rest of World
Algeria,1936,CO2 Emissions (Metric Tons),Emissions,51.3,Rest of World
Algeria,1937,CO2 Emissions (Metric Tons),Emissions,69.7,Rest of World
Algeria,1938,CO2 Emissions (Metric Tons),Emissions,33.0,Rest of World
Algeria,1939,CO2 Emissions (Metric Tons),Emissions,161.0,Rest of World
Algeria,1940,CO2 Emissions (Metric Tons),Emissions,238.0,Rest of World
Algeria,1941,CO2 Emissions (Metric Tons),Emissions,312.0,Rest of World
Algeria,1942,CO2 Emissions (Metric Tons),Emissions,499.0,Rest of World
Algeria,1943,CO2 Emissions (Metric Tons),Emissions,469.0,Rest of World
Algeria,1944,CO2 Emissions (Metric Tons),Emissions,499.0,Rest of World
Algeria,1945,CO2 Emissions (Metric Tons),Emissions,616.0,Rest of World
Algeria,1946,CO2 Emissions (Metric Tons),Emissions,763.0,Rest of World
Algeria,1947,CO2 Emissions (Metric Tons),Emissions,744.0,Rest of World
Algeria,1948,CO2 Emissions (Metric Tons),Emissions,803.0,Rest of World
Algeria,1949,CO2 Emissions (Metric Tons),Emissions,909.0,Rest of World
Algeria,1950,CO2 Emissions (Metric Tons),Emissions,3790.0,Rest of World
Algeria,1951,CO2 Emissions (Metric Tons),Emissions,4140.0,Rest of World
Algeria,1952,CO2 Emissions (Metric Tons),Emissions,3890.0,Rest of World
Algeria,1953,CO2 Emissions (Metric Tons),Emissions,4000.0,Rest of World
Algeria,1954,CO2 Emissions (Metric Tons),Emissions,4160.0,Rest of World
Algeria,1955,CO2 Emissions (Metric Tons),Emissions,4610.0,Rest of World
Algeria,1956,CO2 Emissions (Metric Tons),Emissions,5000.0,Rest of World
Algeria,1957,CO2 Emissions (Metric Tons),Emissions,5540.0,Rest of World
Algeria,1958,CO2 Emissions (Metric Tons),Emissions,5220.0,Rest of World
Algeria,1959,CO2 Emissions (Metric Tons),Emissions,5670.0,Rest of World
Algeria,1960,CO2 Emissions (Metric Tons),Emissions,6160.0,Rest of World
Algeria,1961,CO2 Emissions (Metric Tons),Emissions,6070.0,Rest of World
Algeria,1962,CO2 Emissions (Metric Tons),Emissions,5670.0,Rest of World
Algeria,1963,CO2 Emissions (Metric Tons),Emissions,5430.0,Rest of World
Algeria,1964,CO2 Emissions (Metric Tons),Emissions,5650.0,Rest of World
Algeria,1965,CO2 Emissions (Metric Tons),Emissions,6600.0,Rest of World
Algeria,1966,CO2 Emissions (Metric Tons),Emissions,8430.0,Rest of World
Algeria,1967,CO2 Emissions (Metric Tons),Emissions,8440.0,Rest of World
Algeria,1968,CO2 Emissions (Metric Tons),Emissions,9060.0,Rest of World
Algeria,1969,CO2 Emissions (Metric Tons),Emissions,11300.0,Rest of World
Algeria,1970,CO2 Emissions (Metric Tons),Emissions,15100.0,Rest of World
Algeria,1971,CO2 Emissions (Metric Tons),Emissions,18700.0,Rest of World
Algeria,1972,CO2 Emissions (Metric Tons),Emissions,28300.0,Rest of World
Algeria,1973,CO2 Emissions (Metric Tons),Emissions,38300.0,Rest of World
Algeria,1974,CO2 Emissions (Metric Tons),Emissions,31900.0,Rest of World
Algeria,1975,CO2 Emissions (Metric Tons),Emissions,32000.0,Rest of World
Algeria,1976,CO2 Emissions (Metric Tons),Emissions,39200.0,Rest of World
Algeria,1977,CO2 Emissions (Metric Tons),Emissions,41900.0,Rest of World
Algeria,1978,CO2 Emissions (Metric Tons),Emissions,62500.0,Rest of World
Algeria,1979,CO2 Emissions (Metric Tons),Emissions,45600.0,Rest of World
Algeria,1980,CO2 Emissions (Metric Tons),Emissions,66500.0,Rest of World
Algeria,1981,CO2 Emissions (Metric Tons),Emissions,46400.0,Rest of World
Algeria,1982,CO2 Emissions (Metric Tons),Emissions,39300.0,Rest of World
Algeria,1983,CO2 Emissions (Metric Tons),Emissions,52600.0,Rest of World
Algeria,1984,CO2 Emissions (Metric Tons),Emissions,71100.0,Rest of World
Algeria,1985,CO2 Emissions (Metric Tons),Emissions,72800.0,Rest of World
Algeria,1986,CO2 Emissions (Metric Tons),Emissions,76300.0,Rest of World
Algeria,1987,CO2 Emissions (Metric Tons),Emissions,84100.0,Rest of World
Algeria,1988,CO2 Emissions (Metric Tons),Emissions,83900.0,Rest of World
Algeria,1989,CO2 Emissions (Metric Tons),Emissions,80000.0,Rest of World
Algeria,1990,CO2 Emissions (Metric Tons),Emissions,77000.0,Rest of World
Algeria,1991,CO2 Emissions (Metric Tons),Emissions,79000.0,Rest of World
Algeria,1992,CO2 Emissions (Metric Tons),Emissions,80100.0,Rest of World
Algeria,1993,CO2 Emissions (Metric Tons),Emissions,82200.0,Rest of World
Algeria,1994,CO2 Emissions (Metric Tons),Emissions,86400.0,Rest of World
Algeria,1995,CO2 Emissions (Metric Tons),Emissions,95300.0,Rest of World
Algeria,1996,CO2 Emissions (Metric Tons),Emissions,97100.0,Rest of World
Algeria,1997,CO2 Emissions (Metric Tons),Emissions,87300.0,Rest of World
Algeria,1998,CO2 Emissions (Metric Tons),Emissions,107000.0,Rest of World
Algeria,1999,CO2 Emissions (Metric Tons),Emissions,92000.0,Rest of World
Algeria,2000,CO2 Emissions (Metric Tons),Emissions,87900.0,Rest of World
Algeria,2001,CO2 Emissions (Metric Tons),Emissions,84200.0,Rest of World
Algeria,2002,CO2 Emissions (Metric Tons),Emissions,89900.0,Rest of World
Algeria,2003,CO2 Emissions (Metric Tons),Emissions,91600.0,Rest of World
Algeria,2004,CO2 Emissions (Metric Tons),Emissions,88500.0,Rest of World
Algeria,2005,CO2 Emissions (Metric Tons),Emissions,107000.0,Rest of World
Algeria,2006,CO2 Emissions (Metric Tons),Emissions,101000.0,Rest of World
Algeria,2007,CO2 Emissions (Metric Tons),Emissions,109000.0,Rest of World
Algeria,2008,CO2 Emissions (Metric Tons),Emissions,110000.0,Rest of World
Algeria,2009,CO2 Emissions (Metric Tons),Emissions,121000.0,Rest of World
Algeria,2010,CO2 Emissions (Metric Tons),Emissions,119000.0,Rest of World
Algeria,2011,CO2 Emissions (Metric Tons),Emissions,121000.0,Rest of World
Algeria,2012,CO2 Emissions (Metric Tons),Emissions,130000.0,Rest of World
Algeria,2013,CO2 Emissions (Metric Tons),Emissions,134000.0,Rest of World
Algeria,2014,CO2 Emissions (Metric Tons),Emissions,145000.0,Rest of World
Andorra,1990,CO2 Emissions (Metric Tons),Emissions,407.0,Rest of World
Andorra,1991,CO2 Emissions (Metric Tons),Emissions,407.0,Rest of World
Andorra,1992,CO2 Emissions (Metric Tons),Emissions,407.0,Rest of World
Andorra,1993,CO2 Emissions (Metric Tons),Emissions,411.0,Rest of World
Andorra,1994,CO2 Emissions (Metric Tons),Emissions,407.0,Rest of World
Andorra,1995,CO2 Emissions (Metric Tons),Emissions,425.0,Rest of World
Andorra,1996,CO2 Emissions (Metric Tons),Emissions,455.0,Rest of World
Andorra,1997,CO2 Emissions (Metric Tons),Emissions,466.0,Rest of World
Andorra,1998,CO2 Emissions (Metric Tons),Emissions,491.0,Rest of World
Andorra,1999,CO2 Emissions (Metric Tons),Emissions,513.0,Rest of World
Andorra,2000,CO2 Emissions (Metric Tons),Emissions,524.0,Rest of World
Andorra,2001,CO2 Emissions (Metric Tons),Emissions,524.0,Rest of World
Andorra,2002,CO2 Emissions (Metric Tons),Emissions,532.0,Rest of World
Andorra,2003,CO2 Emissions (Metric Tons),Emissions,535.0,Rest of World
Andorra,2004,CO2 Emissions (Metric Tons),Emissions,561.0,Rest of World
Andorra,2005,CO2 Emissions (Metric Tons),Emissions,576.0,Rest of World
Andorra,2006,CO2 Emissions (Metric Tons),Emissions,546.0,Rest of World
Andorra,2007,CO2 Emissions (Metric Tons),Emissions,539.0,Rest of World
Andorra,2008,CO2 Emissions (Metric Tons),Emissions,539.0,Rest of World
Andorra,2009,CO2 Emissions (Metric Tons),Emissions,517.0,Rest of World
Andorra,2010,CO2 Emissions (Metric Tons),Emissions,517.0,Rest of World
Andorra,2011,CO2 Emissions (Metric Tons),Emissions,491.0,Rest of World
Andorra,2012,CO2 Emissions (Metric Tons),Emissions,488.0,Rest of World
Andorra,2013,CO2 Emissions (Metric Tons),Emissions,477.0,Rest of World
Andorra,2014,CO2 Emissions (Metric Tons),Emissions,462.0,Rest of World
Angola,1950,CO2 Emissions (Metric Tons),Emissions,187.0,Rest of World
Angola,1951,CO2 Emissions (Metric Tons),Emissions,249.0,Rest of World
Angola,1952,CO2 Emissions (Metric Tons),Emissions,312.0,Rest of World
Angola,1953,CO2 Emissions (Metric Tons),Emissions,275.0,Rest of World
Angola,1954,CO2 Emissions (Metric Tons),Emissions,348.0,Rest of World
Angola,1955,CO2 Emissions (Metric Tons),Emissions,414.0,Rest of World
Angola,1956,CO2 Emissions (Metric Tons),Emissions,502.0,Rest of World
Angola,1957,CO2 Emissions (Metric Tons),Emissions,620.0,Rest of World
Angola,1958,CO2 Emissions (Metric Tons),Emissions,594.0,Rest of World
Angola,1959,CO2 Emissions (Metric Tons),Emissions,620.0,Rest of World
Angola,1960,CO2 Emissions (Metric Tons),Emissions,550.0,Rest of World
Angola,1961,CO2 Emissions (Metric Tons),Emissions,455.0,Rest of World
Angola,1962,CO2 Emissions (Metric Tons),Emissions,1180.0,Rest of World
Angola,1963,CO2 Emissions (Metric Tons),Emissions,1150.0,Rest of World
Angola,1964,CO2 Emissions (Metric Tons),Emissions,1220.0,Rest of World
Angola,1965,CO2 Emissions (Metric Tons),Emissions,1190.0,Rest of World
Angola,1966,CO2 Emissions (Metric Tons),Emissions,1550.0,Rest of World
Angola,1967,CO2 Emissions (Metric Tons),Emissions,994.0,Rest of World
Angola,1968,CO2 Emissions (Metric Tons),Emissions,1670.0,Rest of World
Angola,1969,CO2 Emissions (Metric Tons),Emissions,2790.0,Rest of World
Angola,1970,CO2 Emissions (Metric Tons),Emissions,3580.0,Rest of World
Angola,1971,CO2 Emissions (Metric Tons),Emissions,3410.0,Rest of World
Angola,1972,CO2 Emissions (Metric Tons),Emissions,4510.0,Rest of World
Angola,1973,CO2 Emissions (Metric Tons),Emissions,4880.0,Rest of World
Angola,1974,CO2 Emissions (Metric Tons),Emissions,4870.0,Rest of World
Angola,1975,CO2 Emissions (Metric Tons),Emissions,4420.0,Rest of World
Angola,1976,CO2 Emissions (Metric Tons),Emissions,3290.0,Rest of World
Angola,1977,CO2 Emissions (Metric Tons),Emissions,3530.0,Rest of World
Angola,1978,CO2 Emissions (Metric Tons),Emissions,5410.0,Rest of World
Angola,1979,CO2 Emissions (Metric Tons),Emissions,5500.0,Rest of World
Angola,1980,CO2 Emissions (Metric Tons),Emissions,5350.0,Rest of World
Angola,1981,CO2 Emissions (Metric Tons),Emissions,5280.0,Rest of World
Angola,1982,CO2 Emissions (Metric Tons),Emissions,4650.0,Rest of World
Angola,1983,CO2 Emissions (Metric Tons),Emissions,5120.0,Rest of World
Angola,1984,CO2 Emissions (Metric Tons),Emissions,5010.0,Rest of World
Angola,1985,CO2 Emissions (Metric Tons),Emissions,4700.0,Rest of World
Angola,1986,CO2 Emissions (Metric Tons),Emissions,4660.0,Rest of World
Angola,1987,CO2 Emissions (Metric Tons),Emissions,5820.0,Rest of World
Angola,1988,CO2 Emissions (Metric Tons),Emissions,5130.0,Rest of World
Angola,1989,CO2 Emissions (Metric Tons),Emissions,5010.0,Rest of World
Angola,1990,CO2 Emissions (Metric Tons),Emissions,5120.0,Rest of World
Angola,1991,CO2 Emissions (Metric Tons),Emissions,5090.0,Rest of World
Angola,1992,CO2 Emissions (Metric Tons),Emissions,5200.0,Rest of World
Angola,1993,CO2 Emissions (Metric Tons),Emissions,5780.0,Rest of World
Angola,1994,CO2 Emissions (Metric Tons),Emissions,3890.0,Rest of World
Angola,1995,CO2 Emissions (Metric Tons),Emissions,11000.0,Rest of World
Angola,1996,CO2 Emissions (Metric Tons),Emissions,10500.0,Rest of World
Angola,1997,CO2 Emissions (Metric Tons),Emissions,7380.0,Rest of World
Angola,1998,CO2 Emissions (Metric Tons),Emissions,7310.0,Rest of World
Angola,1999,CO2 Emissions (Metric Tons),Emissions,9160.0,Rest of World
Angola,2000,CO2 Emissions (Metric Tons),Emissions,9540.0,Rest of World
Angola,2001,CO2 Emissions (Metric Tons),Emissions,9730.0,Rest of World
Angola,2002,CO2 Emissions (Metric Tons),Emissions,12700.0,Rest of World
Angola,2003,CO2 Emissions (Metric Tons),Emissions,9060.0,Rest of World
Angola,2004,CO2 Emissions (Metric Tons),Emissions,18800.0,Rest of World
Angola,2005,CO2 Emissions (Metric Tons),Emissions,19200.0,Rest of World
Angola,2006,CO2 Emissions (Metric Tons),Emissions,22300.0,Rest of World
Angola,2007,CO2 Emissions (Metric Tons),Emissions,25200.0,Rest of World
Angola,2008,CO2 Emissions (Metric Tons),Emissions,25700.0,Rest of World
Angola,2009,CO2 Emissions (Metric Tons),Emissions,27800.0,Rest of World
Angola,2010,CO2 Emissions (Metric Tons),Emissions,29100.0,Rest of World
Angola,2011,CO2 Emissions (Metric Tons),Emissions,30300.0,Rest of World
Angola,2012,CO2 Emissions (Metric Tons),Emissions,33400.0,Rest of World
Angola,2013,CO2 Emissions (Metric Tons),Emissions,32600.0,Rest of World
Angola,2014,CO2 Emissions (Metric Tons),Emissions,34800.0,Rest of World
Antigua and Barbuda,1957,CO2 Emissions (Metric Tons),Emissions,22.0,Rest of World
Antigua and Barbuda,1958,CO2 Emissions (Metric Tons),Emissions,29.3,Rest of World
Antigua and Barbuda,1959,CO2 Emissions (Metric Tons),Emissions,29.3,Rest of World
Antigua and Barbuda,1960,CO2 Emissions (Metric Tons),Emissions,36.7,Rest of World
Antigua and Barbuda,1961,CO2 Emissions (Metric Tons),Emissions,47.7,Rest of World
Antigua and Barbuda,1962,CO2 Emissions (Metric Tons),Emissions,103.0,Rest of World
Antigua and Barbuda,1963,CO2 Emissions (Metric Tons),Emissions,84.3,Rest of World
Antigua and Barbuda,1964,CO2 Emissions (Metric Tons),Emissions,91.7,Rest of World
Antigua and Barbuda,1965,CO2 Emissions (Metric Tons),Emissions,150.0,Rest of World
Antigua and Barbuda,1966,CO2 Emissions (Metric Tons),Emissions,348.0,Rest of World
Antigua and Barbuda,1967,CO2 Emissions (Metric Tons),Emissions,565.0,Rest of World
Antigua and Barbuda,1968,CO2 Emissions (Metric Tons),Emissions,990.0,Rest of World
Antigua and Barbuda,1969,CO2 Emissions (Metric Tons),Emissions,1260.0,Rest of World
